Title,Languages,Score
Bad Seeds,French,7.3
The Last Hangover,Portuguese,6.3
Struggle: The Life and Lost Art of Szukalski,English,8
Derry Girls,English,8.4
3Below: Tales of Arcadia,English,7.8
Diablero,Spanish,6.7
Wolf,"Turkish, English, German",8.2
7 Days Out,English,6.8
Perfume,German,7.1
Mon Mon Mon Monsters,,6.1
"Amalia, la secretaria",Spanish,6.4
Lion Pride,Mandarin,7.5
"Attention, Love!","Mandarin, Min Nan",7.1
Love @ Seventeen,,6.5
The King of Romance,Mandarin,7.9
Love by Design,Mandarin,6.2
Hwarang,Korean,8
"Marry Me, or Not?","Mandarin, Min Nan",7.4
"Love, Timeless",Mandarin,6.7
Jojos World,Mandarin,7
Kemono Friends,Japanese,6.9
To the Dearest Intruder,Mandarin,6.2
The Indian in the Cupboard,English,6
2036 Origin Unknown,English,4.4
Aggretsuko: We Wish You a Metal Christmas,,7.5
Shiverstone Castle,German,5.6
The Mummy,"English, Egyptian (Ancient)",5.4
Tokyo Ghoul,Japanese,5.7
Lang Tong,"Mandarin, English",5.1
Imperfect,Mandarin,5.2
Miss J Contemplates Her Choice,"English, Chinese, Teochew, Sinhalese",5
Ellen DeGeneres: Relatable,English,6.5
Crows: Episode Zero,Japanese,7.1
Patser,Dutch,6.6
The 100th Love With You,Japanese,6.8
Prince of Peoria: A Christmas Moose Miracle,,6
Man Like Mobeen,English,7.9
Doraemon the Movie: Nobita Drifts in the Universe,"Hindi, Japanese",6.3
Doraemon the Movie: Nobita’s Dinosaur 2006,Japanese,6.9
Doraemon the Movie: Nobitas Great Adventure into the Underworld,"Hindi, Japanese",7
Doraemon the Movie: Nobita and the Island of Miracles - Animal Adventure,"Hindi, Japanese",6.7
Doraemon the Movie: Nobita’s Great Adventure in the South Seas,"Hindi, Japanese",6.8
"Doraemon the Movie: The Records of Nobita, Spaceblazer",Japanese,6.8
Doraemon the Movie: Nobitas Dorabian Nights,"Hindi, Japanese, Arabic",7
Doraemon the Movie: Nobita in the Secret Gadget Museum,"Korean, Hindi, Japanese, Spanish, Catalan, Basque",6.8
Doraemon the Movie: Nobita’s Mermaid Legend,"Hindi, Japanese, Malay",6.5
Doraemon the Movie: Nobita and the Kingdom of Clouds,"Hindi, Japanese",6.9
Doraemon the Movie: New Record of Nobita’s Spaceblazer,"Hindi, Japanese",6.6
Doraemon the Movie: Nobita in the Wan-Nyan Spacetime Odyssey,"Hindi, Japanese",6.9
Doraemon the Movie: Nobita and the Winged Brave Men,"Hindi, Japanese",6.8
Doraemon the Movie: Nobita and the Steel Troops,"Hindi, Japanese",7.4
Doraemon the Movie: Nobita and the Space Heroes,"Japanese, Korean, Italian, Hindi",6.5
Lilli,Malayalam,5.8
Doraemon the Movie: Nobita and the Knights on Dinosaurs,"Hindi, Japanese",6.7
Doraemon the Movie: Nobita and the Robot Kingdom,"Hindi, Japanese",6.7
Doraemon the Movie: Nobita and the Castle of the Undersea Devil,"Hindi, Japanese",6.9
Doraemon the Movie: Nobita and the Animal Planet,"Hindi, Japanese",6.7
Doraemon the Movie: Nobita and The Giants Legend of Green Planet,"Hindi, Japanese",6.5
Doraemon the Movie: Nobita and the Spiral City,Japanese,6.3
Doraemon the Movie: Nobita and the Haunts of Evil,Japanese,6.8
Doraemon the Movie: Nobita and the Tin Labyrinth,"Hindi, Japanese",6.9
Doraemon the Movie: Great Adventure in the Antarctic Kachi Kochi,"Japanese, English, Hindi",6.5
Doraemon the Movie: Nobita and the Birth of Japan 2016,Japanese,6.7
Doraemon the Movie: Nobitas Dinosaur,Japanese,6.9
Doraemon the Movie: Nobita and the Galaxy Super-express,"Hindi, Japanese",6.8
Doraemon the Movie: Nobitas Three Visionary Swordsmen,"Hindi, Japanese",7.1
Doraemon the Movie: Nobita’s Diary on the Creation of the World,"Hindi, Japanese",6.6
Doraemon the Movie: Nobitas Little Star Wars,"Hindi, Japanese",7
Doraemon the Movie: Nobita and the Birth of Japan,"Hindi, Japanese",6.8
Doraemon the Movie: The New Nobitas Great Adventure into the Underworld,"Hindi, Japanese",7
Tomb Raider,"English, Cantonese, Hindi",6.3
Springsteen on Broadway,English,8.5
Ashes of Love,Mandarin,8.5
Andhadhun,"Hindi, English",8.3
All of You,"Filipino, Tagalog",5.4
Morden i Sandhamn,Swedish,6.8
Beck,English,7.5
RuPaul’s Drag Race: All Stars,English,8.5
Ugly Duckling,Thai,7.8
Klovn Forever,"Danish, English",6.3
Happy Hour in Paradise,"Swedish, English, Thai",4.4
Babylonsjukan,Swedish,4.5
Springvloed,Swedish,7.5
Shtisel,"Hebrew, Yiddish",8.6
Bombay Dreams,"Swedish, English",4.7
Far til fires vilde ferie,Danish,3.4
Key House Mirror,"Danish, Swedish",6.9
Grev Axel,Danish,5.5
Sad Hill Unearthed,"English, Spanish, Italian, French",7.4
Vanjagar Ulagam,Tamil,6.1
F.R.E.D.I.,,5
Kita Kita,"Filipino, Tagalog, Japanese, English",7.7
Tidelands,English,7
ROMA,"Spanish, Mixtec, English, Japanese, German, French, Norwegian",7.7
The Innocent Man,,7.3
Sunderland Til I Die,English,8.1
The Protector,Turkish,6.7
No Mans Land,Mandarin,7.3
Mosaic Japan,Japanese,6
Beijing Love Story,Mandarin,5.7
The Myth,"Mandarin, Cantonese, English, Korean",6.1
Ocean Heaven,Mandarin,7.6
The Midas Touch,"Mandarin, Cantonese",5
"Out of Many, One",English,5.6
Vir Das: Losing It,English,7.1
Goldstone,"English, Mandarin",6.5
Z4,Portuguese,7.3
Bad Banks,"German, English",8
Serial Killer with Piers Morgan,English,3.8
Vampire Effect,Cantonese,5.5
The Twins Effect II,Cantonese,4.9
RuPauls Drag Race Holi-Slay Spectacular,English,4.8
AllI Wish,English,5.2
Dumplin,English,6.6
Bad Blood,English,7.5
Super Monsters and the Wish Star,,5.1
The American Meme,English,7
5 Star Christmas,Italian,4.5
Mowgli: Legend of the Jungle,"English, Hindi",6.5
ReMastered: Who Killed Jam Master Jay?,,6.6
Pine Gap,English,7.2
Free Rein: The Twelve Neighs of Christmas,,5.8
The Hook Up Plan,French,7.2
Dogs of Berlin,German,7.6
Nailed It! Holiday!,English,7.8
The Inmate,"English, Spanish",7
Ronny Chieng International Student,English,7.5
The Dirty Dozen,"English, German, French, Spanish, Latin",7.7
Blade Runner: The Final Cut,"English, German, Cantonese, Japanese, Hungarian, Arabic",8.1
Uchu Sentai Kyuranger the Movie: Geth Indaver Strikes Back,Japanese,6.9
The Last O.G.,English,6.9
Breath,"French, English",5.9
Cleo and Cuquin,"Spanish, English",7.9
RUSSELL BRAND: RE:BIRTH,English,6.5
The Cakemaker,"English, Hebrew, German",7.2
Mark Felt: The Man Who Brought Down the White House,English,6.4
Qualquer Gato Vira-Lata 2,"Portuguese, Spanish",5.6
Willkommen bei den Hartmanns,German,6.2
Cold War,"Cantonese, English",6.6
Up In The Wind,Chinese,5.1
Tiny Times,"Mandarin, English",3.1
Switch,Mandarin,2.3
Love is Not Blind,Mandarin,6.5
HERO MASK,,6.2
Teefa in Trouble,Urdu,7.2
Elvis and Nixon,English,6.4
Memories of the Alhambra,"Korean, English, Spanish",7.8
Tiny Times 2,Mandarin,3.3
The Crucifixion,English,5.1
Gringo,"English, Spanish, French, Yoruba",6.1
Battle,"Norwegian, English",6
Journeys End,"English, German, French",6.7
Crossroads: One Two Jaga,"Malay, Indonesian, Tagalog",6.5
The Bookshop,English,6.5
Mary Shelley,English,6.4
The Strangers: Prey At Night,English,5.2
Faraar,Punjabi,5.5
Irmão do Jorel,Portuguese,9.1
The Miracle Season,English,6.5
100% Coco,Dutch,4.6
Suspiria,"Italian, Russian, English, German, Latin",7.4
Summer of 84,English,6.7
Dark Crimes,English,4.7
Triumph in the Skies,Cantonese,4.3
Horseplay,"Cantonese, Mandarin",4.7
"She Remembers, He Forgets",Cantonese,6.6
Trivisa,"Cantonese, Mandarin, Thai",6.9
New Initial D the Movie Legend 1: Awakening,Japanese,7.4
Roll With Me,"English, Arabic",8.6
Wind Blast,Chinese,5.1
Psychic Kusuo,Japanese,5.5
Power Paandi,Tamil,7.5
Being 14,French,4.8
The Little Mermaid,English,4.2
Set Off,Mandarin,6.5
Assembly,Mandarin,7.3
Look for a Star,"Cantonese, Mandarin, English",5.6
Afterimage,Polish,7
If You Are the One,Mandarin,6.8
A Beautiful Life,"Mandarin, Chinese, English, Cantonese",6.7
Chal Bhaag,Hindi,4.2
Dont Go Breaking My Heart,"Cantonese, Mandarin",6.5
"Ayotzinapa, el paso de la tortuga",Spanish,7.5
SDU: Sex Duties Unit,Cantonese,5.9
Dont Go Breaking My Heart 2,"Mandarin, Cantonese",5.5
Break Up 100,Cantonese,5.8
Cloudy with a Chance of Meatballs,English,3.3
Aliens vs. Predator 2,English,4.7
The Ryuos Work is Never Done!,Japanese,6.3
The Great British Baking Show: Holidays,English,8.6
Happy as Lazzaro,"Italian, English",7.5
Angelas Christmas,English,7.1
The World Is Yours,"French, English, Spanish, Arabic",6.4
Rajma Chawal,Hindi,5.8
Time Share,"Spanish, English",6
A Christmas Prince: The Royal Wedding,English,5.3
Baby,Italian,6.8
1983,"Polish, English, Vietnamese, Russian, Chinese",6.8
Nicky Jam: El Ganador,"Spanish, English",7.8
Death by Magic,English,6.1
Manto,"Hindi, Urdu",7.4
Love for Sale,Indonesian,7.4
Love and Fortune,Japanese,7.4
El club de los insomnes,Spanish,6.3
10x10,English,5.1
Hymn of Death,Korean,7.3
The Irregular at Magic High School The Movie: The Girl Who Summons the Stars,Japanese,6.9
My Little Pony Friendship Is Magic: Best Gift Ever,English,7.6
Operation Red Sea,"Mandarin, Arabic, English",6.7
Greater,English,7.3
Bumping Mics with Jeff Ross and Dave Attell,English,7.7
Clean with Passion for Now,Korean,6.5
Escape Room,English,4.2
Social Animals,English,5.3
7호실,"English, Russian",7.2
Judge vs. Judge,Korean,7.2
Sky Castle,Korean,8.7
Let Me Eat Your Pancreas,Japanese,7.1
Kallys Mashup,"Spanish, English",7.8
The Bombing,"Chinese, English, Japanese",3.2
Fugitiva,Spanish,5.7
Sick Note,English,6.8
My Lucky Stars,"Cantonese, Japanese",6.5
Temperature of Love,Korean,7.2
The Christmas Chronicles,"English, Spanish, French, Romanian",7
Muhyo and Rojis Bureau of Supernatural Investigation,Japanese,6.6
Cells at Work!,Japanese,7.6
Tree With Deep Roots,Korean,8.3
The Tribe,Spanish,5.8
Trevor Noah: Son of Patricia,"English, Xhosa",7.3
Kulipari: Dream Walker,,7.4
Motown Magic,English,7.8
The Final Table,English,7.7
Sabrina,Indonesian,4.2
Target,English,4.3
Puppy Star Christmas,English,4
Loveless,"Russian, Tajik, Portuguese",7.6
Hangman,English,5.3
"Hyde, Jekyll, Me",Korean,7
"Rica, Famosa, Latina",Spanish,5.6
Até Que A Sorte Nos Separe 3,,7.3
Braven,English,5.9
Prince of Peoria,,5.6
Marcus Level,French,7.1
Nothing to Hide,French,6.8
The Princess Switch,English,6
Cam,English,5.9
The Ballad of Buster Scruggs,"English, French",7.3
Narcos: Mexico,"English, Spanish",8.4
The Kominsky Method,English,8.2
Dogs,"English, Arabic, German, Italian, Japanese, Spanish",8.1
Eternal Love,Mandarin,8.3
Ms. Hammurabi,Korean,7.6
Made in Abyss,Japanese,8.4
Vai Anitta,"Portuguese, English, Spanish",5.4
Birth of a Beauty,Korean,7
Police Story 2,Cantonese,7.1
Welcome to Waikiki,Korean,8.3
Eureka Seven: Hi-Evolution 1,Japanese,6
Last Days in the Desert,English,5.6
Battle Creek Brawl,English,5.8
A Better Tomorrow,"Cantonese, Mandarin, English",7.5
Follow Me,English,7.4
May the Devil Take You,Indonesian,6
Si tu voyais son cœur,"French, Spanish",4.9
Streif: One Hell of a Ride,"German, English",6.7
Mission Kathmandu: The Adventures of Nelly and Simon,"French, English",5
Gibby,English,5
Redoubtable,"French, English, Italian",6.6
Shopkins: Wild,English,5.5
Beyblade Burst Evolution,,8.6
Interviews With Monster Girls,Japanese,7.4
Shopkins: World Vacation,English,4.8
Voice,Korean,7.7
Shopkins: Chef Club,English,5.2
A Gentle Creature,"Russian, French",6.6
Savita Damodar Paranjpe,Marathi,5.9
Odu Raja Odu,Tamil,7
Muzaffarnagar Baaqi Hai,Hindi,6.9
Aalorukkam,Malayalam,6.5
Halkaa,Hindi,7.2
Christmas Wedding Planner,English,4.3
Loudon Wainwright III: Surviving Twin,English,7.2
She-Ra and the Princesses of Power,English,7.8
6 Below: Miracle on the Mountain,English,5.7
BuyBust,"Filipino, Tagalog",5.8
Os Dez Mandamentos,Portuguese,3.3
Age of Tanks,English,7.3
Whats Wrong with Secretary Kim,Korean,8.1
Outlaw King,"English, French, Scottish Gaelic, Latin",6.9
Love O2O,Chinese,8
The Queen of Flow,Spanish,7.9
Medal of Honor,English,8.4
Super Drags,Portuguese,5.5
Westside,English,6.1
The House That Never Dies,Mandarin,4.5
"Alls Well, Ends Well 2012",Cantonese,5
The Allure of Tears,Mandarin,5
Lommbock,"German, English, Polish, Swedish",6.7
"Alls Well, Ends Well (2009)",Cantonese,4.8
The Leisure Seeker,English,6.7
Transfers,French,7.3
Misty,Korean,8.2
The 15:17 to Paris,"English, French, Arabic, German, Dutch",5.3
Kamen Rider × Kamen Rider Ghost and Drive: Super Movie War Genesis,Japanese,6.7
Minecraft: Story Mode,English,6.4
Mischievous Kiss: The Movie Part 1 High School Ver,Japanese,6.6
Kamen Rider × Super Sentai: Chou Super Hero Taisen,Japanese,6.7
John Leguizamos Latin History for Morons,English,7.5
Justice,,4
Sommore: The Reign Continues,English,6.9
The Package,Korean,6.7
Digimon Adventure Tri. Chapter 6 Our Future,Japanese,7.5
Bucket List,Marathi,6.1
What a Wonderful Family! 2,Japanese,7
Escape Plan 2: Hades,"English, Chinese, Arabic",3.9
Kopitiam,English,8.8
The Holiday Calendar,English,5.7
ReMastered: Tricky Dick and The Man in Black,English,7.1
The Other Side of the Wind,"English, German",6.8
Brainchild,,8
They’ll Love Me When I’m Dead,English,7.4
Death Note: Light Up the New World,"Japanese, Russian",5.8
Death Note II: The Last Name,Japanese,7.2
Death Note,Japanese,9
Mischievous Kiss: The Movie Part 2 Campus Ver,Japanese,7
L.M. Montgomerys Anne of Green Gables,English,6.4
The Masters Sun,Korean,8.2
De Ridder,Dutch,7.1
The Prince of Tennis,Japanese,7.5
And Then There Was Light,Japanese,4.1
The Great British Baking Show: The Beginnings,English,8.6
Kings,Hindi,4.9
Bent,English,5.2
I Do...Until I Dont,English,4.2
Ethel and Ernest,"English, German, French",7.8
Disobedience,"English, Hebrew",6.6
Las grietas de Jara,Spanish,5.8
Forever My Girl,English,6.7
Undefeated Bahamut Chronicle,Japanese,6.5
What a Crush!,"Turkish, Italian, French",6.2
Kamen Rider Heisei Generations: Dr. Pac-Man vs. Ex-Aid and Ghost with Legend Rider,Japanese,7.7
Planet of the Sharks,English,2.6
Midnight Diner 2,Japanese,7.4
Zyuohger vs. Ninninger the Movie,Japanese,6.7
The Dark Maidens,Japanese,6.4
Twisted Justice,Japanese,6.3
Alien,English,8.4
Mumbai Meri Jaan,Hindi,7.7
Scoop!,Japanese,6.4
Raja Natwarlal,Hindi,6.1
Settai,"Tamil, Telugu",4.5
Zokkomon,"Hindi, English",4
Be-Bop High School,,6.9
Welcome to Sajjanpur,Hindi,6.9
Be-Bop Highschool: Koko Yotaro Ondo,Japanese,3.4
Vaya,Zulu,7.6
Yeh Hai Bakrapur,Hindi,3.7
Demon Covered in Scars,Japanese,6.4
Paan Singh Tomar,Hindi,8.2
Oye Lucky! Lucky Oye!,Hindi,7.7
Be-Bop Highschool: Koko Yotaro Elegy,Japanese,6.2
Our House,English,5.3
No One Killed Jessica,"Hindi, English",7.2
Sigaram Thodu,Tamil,6.2
Be-Bop Highschool: A Delinquent Student March,Japanese,6.3
Genocidal Organ,"Japanese, English, Georgian, Hindi",6.4
Emerald Green,German,6
Arjun: The Warrior Prince,Hindi,6.8
ABCD: Any Body Can Dance,Hindi,6.3
Life in a ... Metro,Hindi,7.4
Dhoondte Reh Jaoge,Hindi,5.6
Do Dooni Chaar,Hindi,7.6
Husbands in Goa,Malayalam,3.7
Hattrick,Hindi,4.2
Asees,Punjabi,7.5
Christmas With A View,English,5.1
Katti Batti,Hindi,4.9
Dhan Dhana Dhan Goal,"Hindi, English",5
Chance Pe Dance,"Hindi, Urdu",4.7
Heneral Luna,"Filipino, Tagalog, English, Spanish",7.5
Aamir,Hindi,7.7
Grandmaster,Malayalam,7
Kalakalappu,Tamil,6.8
Kai Po Che!,Hindi,7.7
Aagey Se Right,Hindi,5.1
A Wednesday,Hindi,8.1
Girl from Nowhere,Thai,7.8
Gun City,Spanish,6.3
My ID is Gangnam Beauty,Korean,7.5
The Degenerates,,6.2
Jeopardy!,English,5.9
Patriot Act with Hasan Minhaj,English,8.3
I Hear Your Voice,Korean,8.1
A Kid Like Jake,English,5.4
One Night Stud,Mandarin,5.1
A.X.L.,English,5.3
Hello Babies,"Mandarin, Cantonese",4.8
An Inspector Calls,English,7.7
Dovlatov,"Russian, Spanish, Finnish",6.4
Shirkers,English,7.4
Been So Long,,5.5
Jefe,Spanish,5.4
Chilling Adventures of Sabrina,English,7.5
Terrorism Close Calls,,5.2
Ozzy,"Spanish, English",5.3
Pinocchio,Korean,8.1
Sapphire Blue,"German, French, Latin",6.3
The Map Against the World,Korean,5.8
Incoming,English,3.3
Ruby Red,"German, French",6.2
A Man and a Woman,Korean,6.8
W/O Ram,Telugu,6.1
Robozuna,English,6.2
The Fate of the Furious,"English, Russian, Spanish",6.7
Get Out,English,7.7
Ronnie Coleman: The King,English,7
Bodyguard,English,8.1
Baahubali: The Beginning (English Version),"Telugu, Tamil, Hindi",8
Batman Ninja,"Japanese, English",5.6
ADAM SANDLER 100% FRESH,English,7.6
Scorpion King 5: Book of Souls,English,4.7
Here to Heart,Mandarin,7.6
The Cured,English,5.5
The Gospel of John,"English, Spanish",7.8
Looking Glass,English,4.6
The Gospel of Mark,English,8
The Gospel of Luke,"English, Spanish",7
The Gospel of Matthew,English,8.1
Terminal,English,5.4
Gnome Alone,English,5.6
"Club de Cuervos Presents: I, Potro",Spanish,6.3
Larva Island,,6.4
Wild District,Spanish,8.3
Wanderlust,English,7
Derren Brown: Sacrifice,English,7.1
The Night Comes for Us,"Indonesian, English, Mandarin, French",7
Illang: The Wolf Brigade,Korean,6
Vendo ou alugo,Portuguese,5.2
Accidentally in Love,Mandarin,7.6
Haunted,Danish,8.5
Best.Worst.Weekend.Ever.,English,6.4
Ask the Doctor,English,6.6
The Girl Who Sees Scents,Korean,7.1
Project S The Series,Thai,8.5
S Storm,"English, Cantonese, Mandarin",5.2
Naa Bangaaru Talli,Telugu,7.1
Oddbods: Party Monsters,,4.9
Mr. Chandramouli,Tamil,5.2
Father Figures,"English, Hawaiian",5.5
"Ron White: If You Quit Listening, Ill Shut Up",English,6.5
Daddy Cool,"French, Spanish",5.7
Orange Mittai,Tamil,6.5
What Will People Say,"Urdu, Norwegian",7.4
Dont Dare to Dream,Korean,7.8
My Girlfriend Is a Gumiho,Korean,7.8
Yong Pal,Korean,7.5
Suspicious Partner,Korean,7.9
Beautiful Gong Shim,Korean,7.3
Doctors,Korean,7.7
Meghnadbodh Rohoshyo,Bengali,6.3
Sanju,Hindi,7.7
Stunt Science,,4.9
Weg van Jou,Dutch,6.4
Soorma,Hindi,7.4
The Kindergarten Teacher,English,6.7
Feminists: What Were They Thinking?,English,7
Apostle,"English, Chinese",6.3
Kuntilanak,Indonesian,4.7
The Haunting of Hill House,English,8.6
FIGHTWORLD,,7.6
The Curious Creations of Christine McConnell,,7.8
Errementari: The Blacksmith and the Devil,Basque,6.4
Knightfall,"English, Arabic, Hebrew, Latin",6.8
Murder on the Orient Express,"English, French, German, Turkish, Italian, Swedish",7.3
Sherlock: The Abominable Bride,"English, French",8.2
Salt Fat Acid Heat,,7.7
Ana e Vitória,Portuguese,6.6
That Time I Got Reincarnated as a Slime,Japanese,8
T2: Trainspotting,"English, Bulgarian, Scots",7.2
Tales From the Hood 2,English,4.3
22 July,"English, Norwegian",6.8
211,English,4.4
Blood Pact,Portuguese,7
A Letter to Momo,Japanese,7.3
Mo Amer: The Vagabond,English,7.4
Goblin Slayer,Japanese,7.5
Resident Evil: Vendetta,"English, Japanese",6.3
Pulang,"Malay, English",6.7
Puerto Ricans in Paris,English,5.3
SSSS.GRIDMAN,Japanese,7
Empire Games,English,5.7
Super Monsters Save Halloween,,5.7
Private Life,English,7.2
Malevolent,English,5.5
Elite,Spanish,7.6
Little Things,English,6
YG Future Strategy Office,,7.1
Dancing Queen,,7
The Secret of My Success,English,6.5
2:22,English,5.8
Violet Evergarden: Special,"Japanese, English",8.4
Creeped Out,English,6.6
Demolition,English,7
Truth or Dare,English,5
The Black Prince,"English, Punjabi",6.6
No dormirás,Spanish,5.1
Operation Finale,"English, Spanish, French, German",6.6
The Third Charm,Korean,6.1
Beauty Inside,Korean,7.5
Joe Rogan: Strange Times,English,7.4
Death Race: Beyond Anarchy,,5.2
Stronger,English,6.9
Woozle and Pip in Search of the Scallywagger!,Dutch,6.7
Dummie de Mummie 2,Dutch,5.7
Guardian: The Lonely and Great God,Korean,8.6
Love Live! Sunshine!!,"Japanese, English",7.2
Mobile Suit Gundam: Iron-Blooded Orphans,Japanese,7.9
"Love, Chunibyo and Other Delusions",Japanese,7.4
Hellsing Ultimate,"Japanese, English",8.3
Blade and Soul,Japanese,6
CLANNAD,Japanese,8.6
The Spy,"English, German",6.6
Tazza: The High Rollers,Korean,7.2
Save the Green Planet!,Korean,7.3
Spider-Man: Homecoming,"English, Spanish",7.4
Righteous Ties,"Korean, French",6.4
"Roman Israel, Esq.","English, Spanish, Armenian",6.5
Whispering Corridors 3: Wishing Stairs,Korean,5.9
The King and the Clown,Korean,7.4
Whatcha Wearin?,Korean,6.9
Public Enemy,Korean,7.2
Sex Is Zero II,Korean,6.1
Secret Sunshine,Korean,7.5
The Servant,Korean,6.4
Single Rider,"Korean, English",6.6
The Unforgiven,Korean,6.8
Sleight,English,5.9
Set Me Free,Korean,6.6
Proud Mary,"English, Russian",5
Typhoon,"Korean, English, Thai, Russian, Mandarin",5.8
Quick,Korean,5.8
Raging Years,Korean,6.2
Rules of Dating,Korean,6.4
Silmido,Korean,7.1
Predators,"English, Spanish, Russian",6.4
Perfect Number,Korean,6.9
The Dark Tower,English,5.6
The Classic,Korean,7.8
The Flu,"Korean, English, Filipino",6.6
The Suicide Forecast,Korean,6.3
R-Point,"English, Korean, French, Vietnamese",6.3
Searching for the Elephant,Korean,5.6
We Are Brothers,Korean,6.2
Project 577,Korean,6.1
Ordinary Person,Korean,5.8
The Visitors: Bastille Day,French,4.6
Rough Night,"English, Spanish",5.2
My Tutor Friend,Korean,6.7
All About My Wife,"Korean, Japanese",6.6
Godzilla: Resurgence,"Japanese, Japanese Sign Language, English, German",6.8
Ardor,Korean,5.8
A Good Lawyers Wife,Korean,6.3
All for Love,Korean,6.8
Mapado 2,Korean,5.5
Marshall,English,7.3
Call Me by Your Name,"English, Italian, French, German, Hebrew",7.9
Himeanole,Japanese,6.8
Happy End,Korean,6.9
Bleach: The Movie 2: The Diamond Dust Rebellion,Japanese,7.1
Crossing,"Korean, Mandarin, Mongolian",7.6
A Dirty Carnival,Korean,7.3
Jumanji: Welcome to the Jungle,English,6.9
Jail Breakers,Korean,6.2
Arahan,Korean,6.7
No Mercy,Korean,7.5
No. 3,Korean,6.5
Love Now,Korean,6.1
Mapado,Korean,6
Crush and Blush,Korean,6.3
Like for Likes,Korean,6.1
Marrying the Mafia,Korean,8.6
Insidious: The Last Key,English,5.7
Blade Runner 2049,"English, Finnish, Japanese, Hungarian, Russian, Somali, Spanish",8
Blood Rain,Korean,6.6
Manchester by the Sea,English,7.8
Glove,Korean,6.9
Another Public Enemy,Korean,6
May 18,Korean,7
Hanbando,"Japanese, Korean",4.8
Kick the Moon,Korean,6.5
Chappaquiddick,English,6.4
Good Morning President,"Korean, English, Japanese",5.8
Flatliners,English,5.2
Baby Driver,"English, American Sign Language",7.6
Bloody Ties,"Korean, French",6.3
"Murder, Take One",Korean,6.3
Dancing Queen,"Swedish, English",6.6
Guardians,English,7.4
My Wife Got Married,Korean,5.5
Closer to Heaven,Korean,6.6
New Trial,Korean,6.8
My Scary Girl,Korean,6.4
Helpless,Korean,6.7
Seven in Heaven,English,5.3
Cold Skin,English,6
Thirteen,"English, Spanish, Portuguese",6.8
Underverden,"Danish, Arabic",6.6
The Princess Wei Young,,7.7
SIGNAL,Japanese,7.4
Ossans Love,Japanese,7.7
Weightlifting Fairy Kim Bok Joo,Korean,8.4
To the Fore,"Mandarin, Cantonese, English, Italian, Korean",6.3
Tiger,"Punjabi, Hindi",6.4
Pizza,Hindi,6.2
Vettai,Tamil,5.9
Needhi Singh,Punjabi,6.2
Wake Up Sid,Hindi,7.6
Nasha,Hindi,3.2
Peace Haven,Bengali,6.5
Manje Bistre,Punjabi,6.6
"Main, Meri Patni Aur Woh","Hindi, English",7.3
Muran,Tamil,6.4
Naan Sigappu Manithan,Tamil,6.5
Emil and the Detectives,German,6
Dev.D,,8.6
25 Kille,Punjabi,5.9
Anjaan,Tamil,5
Kaminey,"Hindi, Marathi, Bengali, English, Portuguese",7.4
Agyaat,Hindi,2.9
Damascus Cover,"Arabic, German, English",5.2
Jagga Jasoos,Hindi,6.5
Dushman,Punjabi,5.4
A Witches Ball,English,5.1
Kurbaan,"Hindi, Urdu, English",5.7
Harishchandrachi Factory,Marathi,8.4
Kisaan,Hindi,5.4
Freedom at Midnight,Malayalam,7.4
Bathinda Express,Punjabi,5.7
Lock,Punjabi,6.1
Zindagi Kitni Haseen Hay,Urdu,5.9
Udaan,Hindi,8.2
Phantom,Hindi,5.9
Judge Singh LLB,Punjabi,7.4
Khoobsurat,Hindi,6.4
Khido Khundi,Punjabi,6.5
My Friend Pinto,"Hindi, Marathi, English",5.3
Thaandavam,Tamil,6.1
My Little Pony Equestria Girls: Rollercoaster of Friendship,English,6.3
My Little Pony Equestria Girls: Forgotten Friendship,English,7.3
Motor Mitraan Di,Punjabi,6.1
Jodhaa Akbar,"Hindi, Urdu",7.6
Sat Shri Akaal England,Punjabi,5.3
Delhi 6,"Hindi, English",6.1
Hot Date,English,7.1
Strong,English,7.2
Im Sorry,,9.2
Impractical Jokers,English,8.2
Christiane Amanpour: Sex and Love Around the World,English,7.4
Helden Van De Zee,Dutch,6.6
The German Doctor,"Spanish, German, Hebrew",6.7
Clandestine Childhood,"Spanish, Portuguese",7
Conspiracy,English,9.2
The Resurrection of Gavin Stone,English,6.2
Double Decker! Doug and Kirill,Japanese,7
Two Catalonias,"Spanish, Catalan, English",6.4
Lessons from a School Shooting: Notes from Dunblane,English,5.9
Hold the Dark,English,5.6
Made in Mexico,"Spanish, English",4
The 3rd Eye,Indonesian,5.1
Animal World,"Hindi, Mandarin, English, Italian, French, Arabic",6.5
Sleepless,English,5.6
Ponte Aérea,Portuguese,6.5
Weeds on Fire,Cantonese,6.7
Life,"English, Japanese, Vietnamese",6.6
Wonder,English,8
The Hurricane Heist,"American Sign Language, English",5.1
A Noite Da Virada,Portuguese,4.5
Oh My Ghost,Korean,8.1
Nappily Ever After,English,6.4
Quincy,English,7.6
Maniac,English,7.8
The Good Cop,English,7
Battlefish,,7.2
Hilda,English,8.6
Rafinha Bastos: Ultimatum,Portuguese,6.4
Na Quebrada,Portuguese,6.2
Meu Passado Me Condena 2,Portuguese,5.6
Mad World,Cantonese,7.3
Paddington 2,English,7.8
Police Academy 3: Back in Training,English,5.4
The Endless,English,6.5
Class Rank,English,6.4
D.L. Hughley: Contrarian,English,6.6
Sepultura Endurance,"Portuguese, English",7.3
Conni and Co,German,3.7
Split,English,7.3
