Title,Languages,Score
B-Day!,German,6.1
"So Im a Spider, So What?","English, Russian",6.4
Sesame Street,"English, Spanish, American Sign Language",8.1
Song Without a Name,"Quechua, Spanish",6.9
The Vanished,English,5.7
Seized,English,5.2
What Would Sophia Loren Do?,"Italian, English",6.7
Outside the Wire,English,5.4
Double Dad,Portuguese,5.5
Bling Empire,English,5.7
Way To Find The Best Life,Japanese,5.4
Horimiya,Japanese,8.5
Informer,English,7.9
Cheat,English,6.7
De Geheimen van Barslet,Dutch,7.3
Nowhere to Run,English,5.7
Superstore,English,7.8
The Big Ugly,English,6.1
Non sono un assassino,Italian,5.5
The Treflik Family,Polish,8.5
Pinkfong & Baby Sharks Space Adventure,Korean,7.1
Wish You,"English, Vietnamese, Khmer",5.9
An Imperfect Murder,English,2.8
On Happiness Road,"Min Nan, Mandarin, English",7.2
Taipei Story,"Min Nan, Mandarin, Hokkien",7.7
Marlina the Murderer in Four Acts,Indonesian,7
Mars,English,7.5
My 2,English,5.3
Night Stalker: The Hunt for a Serial Killer,"English, Spanish",7.5
Laid-Back Camp,Japanese,7.9
Sputnik,"Russian, Latin",6.4
Broken Law,English,5.2
The Bravest,Mandarin,5.6
Sprawiedliwi,Polish,6
Al acecho,Spanish,7.6
Il Grande Spirito,,5.9
Dolceroma,Italian,5.2
"Crack: Cocaine, Corruption & Conspiracy",English,6.6
Kemono Jihen,Japanese,7.8
Idoly Pride,Japanese,8.2
Beneath Clouds,English,7
O tempo e o vento,Portuguese,8.5
The Tax Collector,"Spanish, English",4.8
Lupin,"Japanese, English, French",7.7
Yolki 5,Russian,3.5
April Fools Day,"None, English",5.9
Crying 100 Times: Every Raindrop Falls,Japanese,6.1
You Cannot Kill David Arquette,English,7.2
Infamous,English,7
Pieces of a Woman,English,7.1
The Lenin Factor,Russian,5.1
The Very Best Day,Russian,3.5
Finding Srimulat,Indonesian,6.8
Bluebell,English,8.5
Gaya Sa Pelikula,"Tagalog, Filipino",8.7
Tony Parker: The Final Shot,French,6.8
Surviving Death,English,5.8
100% Halal,Indonesian,6.6
Kingdom,Korean,8.4
Summerland,English,6.9
Saint Petersburg,Persian,6.4
Zombiepura,Mandarin,5.4
History of Swear Words,English,6.5
Back to Life,English,7.5
Girls Secrets,English,7.3
Africano,Arabic,5.9
The Wolf of Snow Hollow,English,6.2
When Louis Met... Chris Eubank,English,7
Meet Me in Venice,English,6.4
Hello Brother,Hindi,4.7
The Netflix Afterparty,English,3.9
The Chamber,English,6
Measure for Measure,English,5.5
Midnight Family,Spanish,7.4
What Happened to Mr. Cha?,Korean,4.2
The Minimalists: Less Is Now,English,5.9
Headspace Guide to Meditation,English,8.6
VINLAND SAGA,Japanese,8.8
My Girl,English,6.9
Macross Delta,Japanese,5.8
Macross Frontier,Japanese,7.9
Come Back Mister,Korean,7.5
Recall,English,2.9
School-Live!,"Japanese, English",7.2
The Unbroken,English,5.3
The Great White Tower,Japanese,7
Bento Harassment,Japanese,6.7
Waves,English,7.6
Scoob,English,5.7
Racetime!,English,5.6
Vaterfreuden,German,5.6
Nureyev,English,4.2
Captive State,English,6
The Elephant Man,"English, French",8.1
The Things of Life,French,7.6
Cesar and Rosalie,"French, English",7.4
"Jochem Myjer - Adem In, Adem Uit",Dutch,8.2
Teen Spirit,"English, Polish",6.1
ModalitÃ  Aereo,Italian,5.6
Blues Brothers 2000,"English, Russian",4.9
Tarung Sarung,Indonesian,5.9
Running Man,Korean,9
Full Out 2: You Got This!,English,4.6
Elcano & Magellan: The First Voyage around the World,"Basque, English, Spanish",4.2
Best of Stand-Up 2020,English,5.4
Mighty Oak,English,4.8
Heroes Reborn,English,6.7
Doraemon: Nobitas Chronicle of the Moon Exploration,"Hindi, Japanese",7.4
100% Wolf,English,5.7
Spree,English,5.9
The Vigil,"English, Yiddish, Hebrew",5.5
Savage,English,6.5
Saint Frances,English,7.1
Rev,English,5
